Core,Otu00001,Otu00002,Otu00003,Otu00004,Otu00005,Otu00006,Otu00008,Otu00009,Otu00010,Otu00012,Otu00013,Otu00014,Otu00015,Otu00016,Otu00018,Otu00019,Otu00022,Otu00023,Otu00024,Otu00025,Otu00027,Otu00028,Otu00029,Otu00030,Otu00032,Otu00033,Otu00035,Otu00036,Otu00038,Otu00039,Otu00040,Otu00041,Otu00044,Otu00045,Otu00046,Otu00047,Otu00048,Otu00049,Otu00050,Otu00051,Otu00052,Otu00053,Otu00054,Otu00058,Otu00059,Otu00061,Otu00064,Otu00067,Otu00068,Otu00069,Otu00071,Otu00073,Otu00076,Otu00078,Otu00079,Otu00081,Otu00083,Otu00084,Otu00086,Otu00090,Otu00091,Otu00093,Otu00094,Otu00095,Otu00096,Otu00105,Otu00108,Otu00110,Otu00120,Otu00123,Otu00127,Otu00128,Otu00131,Otu00132,Otu00145,Otu00153,Otu00155,Otu00157,Otu00162,Otu00165,Otu00169,Otu00177,Otu00181,Otu00185,Otu00189,Otu00191,Otu00197,Otu00200,Otu00205,Otu00208,Otu00211,Otu00217,Otu00225,Otu00240,Otu00243,Otu00250,Otu00252,Otu00258,Otu00259,Otu00310,Otu00315,Otu00334,Otu00338,Otu00371,Otu00380,Otu00386,Otu00422,Otu00516,Otu00755
3.16,0,0,0,0,28,0,14,0,0,0,0,0,3,0,0,0,1,0,0,23,0,0,0,28,0,0,0,0,53,0,4,31,0,10,0,1,89,127,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,32,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,12,0,0,0,0,0,0,2
3.26,34,17,0,16,0,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,37,0,2,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,2,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,14
3.28,0,0,22,46,12,14,3,53,45,0,0,0,19,26,107,0,0,0,0,9,2,0,3,7,1,0,0,25,0,0,5,0,0,1,0,2,2,0,0,0,0,0,5,6,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,1,0,0,0,2,0,16,0,0,0,0,0,0
3.45,0,0,0,0,13,0,14,0,232,0,0,0,36,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,163,0,0,12,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.68,0,0,40,99,0,0,0,0,0,0,0,0,141,0,0,0,0,2,0,0,0,25,0,48,0,0,0,0,0,0,0,0,0,3,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
3.76,0,158,0,0,0,39,0,0,0,0,0,0,6,0,0,0,0,0,0,0,92,0,0,41,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,8,0,0,52,0,0,1,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.11,0,13,0,61,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,24,0,4,71,0,18,0,77,0,0,0,0,14,0,0,3,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,7,0,1,0,0,0,0,86,0,6,0,0,12,0,0,0,1,0,0,0,1,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,13,0
11.18,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.25,0,0,0,0,0,0,0,0,30,0,538,0,325,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
11.3,153,0,0,6,0,0,0,0,6,0,0,0,0,0,0,1,0,0,35,0,0,0,0,9,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
